alpha,beta,fusion,steps,blocks,latency
1.5,1.0,5000.0,50,172,4056
1.5,1.5,5000.0,50,172,4056
1.5,2.0,5000.0,50,172,4056
1.5,2.5,5000.0,50,172,4056
1.5,3.0,5000.0,50,172,4056
1.5,3.5,5000.0,50,172,4056
1.5,4.0,5000.0,50,172,4056
1.5,4.5,5000.0,50,172,4056
1.5,5.0,5000.0,50,172,4056
2.0,0.5,5000.0,50,172,4056
2.0,1.0,5000.0,50,172,4056
2.0,1.5,5000.0,50,172,4056
2.0,2.0,5000.0,50,172,4056
2.0,2.5,5000.0,50,172,4056
2.0,3.0,5000.0,50,172,4056
2.0,3.5,5000.0,50,172,4056
2.0,4.0,5000.0,50,172,4056
2.0,4.5,5000.0,50,172,4056
2.0,5.0,5000.0,50,172,4056
2.5,0.5,5000.0,50,172,4056
2.5,1.0,5000.0,50,172,4056
2.5,1.5,5000.0,50,172,4056
2.5,2.0,5000.0,50,172,4056
2.5,2.5,5000.0,50,172,4056
2.5,3.0,5000.0,50,172,4056
2.5,3.5,5000.0,50,172,4056
2.5,4.0,5000.0,50,172,4056
2.5,4.5,5000.0,50,172,4056
2.5,5.0,5000.0,50,172,4056
3.0,0.5,5000.0,50,172,4056
3.0,1.0,5000.0,50,172,4056
3.0,1.5,5000.0,50,172,4056
3.0,2.0,5000.0,50,172,4056
3.0,2.5,5000.0,50,172,4056
3.0,3.0,5000.0,50,172,4056
3.0,3.5,5000.0,50,172,4056
3.0,4.0,5000.0,50,172,4056
3.0,4.5,5000.0,50,172,4056
3.0,5.0,5000.0,50,172,4056
0.5,0.5,20000.0,56,186,4553
0.5,1.0,20000.0,56,186,4553
0.5,1.5,20000.0,56,186,4553
0.5,2.0,20000.0,56,186,4553
0.5,2.5,20000.0,56,186,4553
0.5,3.0,20000.0,56,186,4553
0.5,3.5,20000.0,56,186,4553
0.5,4.0,20000.0,56,186,4553
0.5,4.5,20000.0,56,186,4553
0.5,5.0,20000.0,56,186,4553
1.0,0.5,20000.0,56,186,4553
1.0,1.0,20000.0,56,186,4553
1.0,1.5,20000.0,56,186,4553
1.0,2.0,20000.0,56,186,4553
1.0,2.5,20000.0,56,186,4553
1.0,3.0,20000.0,56,186,4553
1.0,3.5,20000.0,56,186,4553
1.0,4.0,20000.0,56,186,4553
1.0,4.5,20000.0,56,186,4553
1.0,5.0,20000.0,56,186,4553
1.5,0.5,20000.0,56,186,4553
1.5,1.0,20000.0,56,186,4553
1.5,1.5,20000.0,56,186,4553
1.5,2.0,20000.0,56,186,4553
1.5,2.5,20000.0,56,186,4553
1.5,3.0,20000.0,56,186,4553
1.5,3.5,20000.0,56,186,4553
1.5,4.0,20000.0,56,186,4553
1.5,4.5,20000.0,56,186,4553
1.5,5.0,20000.0,56,186,4553
2.0,0.5,20000.0,56,186,4553
2.0,1.0,20000.0,56,186,4553
2.0,1.5,20000.0,56,186,4553
2.0,2.0,20000.0,56,186,4553
2.0,2.5,20000.0,56,186,4553
2.0,3.0,20000.0,56,186,4553
2.0,3.5,20000.0,56,186,4553
2.0,4.0,20000.0,56,186,4553
2.0,4.5,20000.0,56,186,4553
2.0,5.0,20000.0,56,186,4553
2.5,0.5,20000.0,56,186,4553
2.5,1.0,20000.0,56,186,4553
2.5,1.5,20000.0,56,186,4553
2.5,2.0,20000.0,56,186,4553
2.5,2.5,20000.0,56,186,4553
2.5,3.0,20000.0,56,186,4553
2.5,3.5,20000.0,56,186,4553
2.5,4.0,20000.0,56,186,4553
2.5,4.5,20000.0,56,186,4553
2.5,5.0,20000.0,56,186,4553
3.0,0.5,20000.0,56,186,4553
3.0,1.0,20000.0,56,186,4553
3.0,1.5,20000.0,56,186,4553
3.0,2.0,20000.0,56,186,4553
3.0,2.5,20000.0,56,186,4553
3.0,3.0,20000.0,56,186,4553
3.0,3.5,20000.0,56,186,4553
3.0,4.0,20000.0,56,186,4553
3.0,4.5,20000.0,56,186,4553
3.0,5.0,20000.0,56,186,4553
