alpha,beta,fusion,steps,blocks,latency
1.5,1.0,20000.0,60,186,4856
1.5,1.5,20000.0,58,186,4720
1.5,2.0,20000.0,58,186,4720
1.5,2.5,20000.0,58,186,4720
1.5,3.0,20000.0,58,186,4720
1.5,3.5,20000.0,58,186,4720
1.5,4.0,20000.0,58,186,4645
1.5,4.5,20000.0,58,186,4645
1.5,5.0,20000.0,58,186,4645
2.0,0.5,20000.0,61,186,4950
2.0,1.0,20000.0,60,186,4856
2.0,1.5,20000.0,58,186,4724
2.0,2.0,20000.0,58,186,4724
2.0,2.5,20000.0,58,186,4724
2.0,3.0,20000.0,58,186,4720
2.0,3.5,20000.0,58,186,4720
2.0,4.0,20000.0,58,186,4734
2.0,4.5,20000.0,58,186,4734
2.0,5.0,20000.0,58,186,4734
2.5,0.5,20000.0,61,186,4950
2.5,1.0,20000.0,60,186,4856
2.5,1.5,20000.0,60,186,4856
2.5,2.0,20000.0,58,186,4724
2.5,2.5,20000.0,58,186,4720
2.5,3.0,20000.0,58,186,4720
2.5,3.5,20000.0,58,186,4734
2.5,4.0,20000.0,58,186,4734
2.5,4.5,20000.0,58,186,4734
2.5,5.0,20000.0,58,186,4734
3.0,0.5,20000.0,61,186,4950
3.0,1.0,20000.0,61,186,4950
3.0,1.5,20000.0,60,186,4856
3.0,2.0,20000.0,58,186,4724
3.0,2.5,20000.0,58,186,4724
3.0,3.0,20000.0,58,186,4734
3.0,3.5,20000.0,58,186,4734
3.0,4.0,20000.0,58,186,4734
3.0,4.5,20000.0,58,186,4734
3.0,5.0,20000.0,58,186,4734
